date,close,high,low,volume
2010-01-04,3243.76,3295.28,3243.32,122446256.0
2010-01-05,3282.18,3290.51,3221.46,142274960.0
2010-01-06,3254.21,3295.87,3253.04,135131296.0
2010-01-07,3192.78,3268.82,3176.71,145228704.0
2010-01-08,3196.0,3198.92,3149.02,114602544.0
2010-01-11,3212.75,3306.75,3197.33,161502176.0
2010-01-12,3273.97,3275.2,3180.08,159128736.0
2010-01-13,3172.66,3232.82,3165.49,185213136.0
2010-01-14,3215.55,3219.02,3165.6,151986656.0
2010-01-15,3224.15,3241.82,3197.22,131414088.0
2010-01-18,3237.1,3238.24,3202.21,145703536.0
2010-01-19,3246.87,3268.81,3236.84,144950160.0
2010-01-20,3151.85,3255.13,3148.33,172555632.0
2010-01-21,3158.86,3176.15,3126.9,132639664.0
2010-01-22,3128.59,3147.83,3062.63,156427040.0
2010-01-25,3094.41,3137.0,3092.93,93994064.0
2010-01-26,3019.39,3107.2,3001.96,109494648.0
2010-01-27,2986.61,3028.65,2972.63,93150248.0
2010-01-28,2994.14,3006.04,2963.89,85167120.0
2010-01-29,2989.29,3024.85,2968.45,91271120.0
2010-02-01,2941.36,2981.37,2912.89,100564352.0
2010-02-02,2934.71,2990.75,2930.56,93734928.0
2010-02-03,3003.83,3005.13,2890.02,119005328.0
2010-02-04,2995.31,3015.13,2968.68,111441896.0
2010-02-05,2939.4,2959.23,2918.91,107746152.0
2010-02-08,2935.17,2954.27,2922.19,68452320.0
2010-02-09,2948.84,2957.47,2929.21,69093616.0
2010-02-10,2982.5,2983.18,2958.22,62322400.0
2010-02-11,2985.5,3001.64,2976.08,62462056.0
2010-02-12,3018.13,3018.86,2993.44,60694992.0
2010-02-22,3003.4,3026.66,3002.81,75193872.0
2010-02-23,2982.58,2998.91,2938.75,89011528.0
2010-02-24,3022.18,3023.74,2955.07,99625944.0
2010-02-25,3060.62,3063.0,3022.37,130544488.0
2010-02-26,3051.94,3067.52,3041.69,109599888.0
2010-03-01,3087.84,3093.09,3054.55,120949904.0
2010-03-02,3073.11,3095.99,3060.96,113653840.0
2010-03-03,3097.01,3098.46,3061.47,123134064.0
2010-03-04,3023.37,3102.4,3016.22,136744528.0
2010-03-05,3031.06,3044.16,3011.09,98280192.0
