,Close,High,Low,Open,Volume
2025-01-02,6.68,6.99,6.64,6.95,37486224.0
2025-01-03,6.73,6.86,6.68,6.68,35166596.0
2025-01-06,6.74,6.92,6.67,6.77,33922340.0
2025-01-07,6.67,6.78,6.6,6.71,23369330.0
2025-01-08,6.54,6.68,6.41,6.67,29905634.0
2025-01-09,6.87,6.92,6.64,6.72,53629000.0
2025-01-10,6.75,6.93,6.75,6.83,24794152.0
2025-01-13,6.69,6.9,6.64,6.73,26144372.0
2025-01-14,6.87,6.87,6.66,6.68,23043200.0
2025-01-15,6.85,6.92,6.81,6.82,16549869.0
2025-01-16,6.87,7.06,6.85,6.9,24939588.0
2025-01-17,6.84,6.9,6.8,6.86,16400060.0
2025-01-20,6.79,6.89,6.77,6.86,20366080.0
2025-01-21,6.68,6.83,6.62,6.81,24072032.0
2025-01-22,6.67,6.68,6.61,6.67,14207064.0
2025-01-23,6.66,6.78,6.64,6.7,23953702.0
2025-01-24,6.78,6.83,6.63,6.67,25212758.0
2025-01-27,6.88,6.93,6.77,6.79,25845656.0
2025-02-05,6.83,6.91,6.78,6.89,22942700.0
2025-02-06,6.98,6.99,6.78,6.82,31452528.0
2025-02-07,6.99,7.03,6.93,6.94,23952456.0
2025-02-10,6.87,7.01,6.86,7.0,29959200.0
2025-02-11,6.79,6.89,6.73,6.86,29127740.0
2025-02-12,6.73,6.79,6.67,6.74,26400658.0
2025-02-13,6.65,6.79,6.63,6.71,39187400.0
2025-02-14,6.59,6.66,6.55,6.65,27338444.0
2025-02-17,6.53,6.59,6.47,6.58,26547236.0
2025-02-18,6.48,6.58,6.45,6.5,22813060.0
2025-02-19,6.43,6.48,6.39,6.46,37792064.0
2025-02-20,6.43,6.46,6.4,6.44,22700860.0
2025-02-21,6.34,6.45,6.3,6.41,34124584.0
2025-02-24,6.3,6.36,6.27,6.3,31058928.0
2025-02-25,6.21,6.34,6.19,6.3,38227436.0
2025-02-26,6.34,6.35,6.19,6.2,36023816.0
2025-02-27,6.29,6.35,6.22,6.34,28103372.0
2025-02-28,6.19,6.32,6.16,6.27,28974980.0
2025-03-03,6.2,6.27,6.18,6.2,25009480.0
2025-03-04,6.11,6.2,6.09,6.2,28263364.0
2025-03-05,6.05,6.11,6.0,6.1,28100468.0
2025-03-06,6.13,6.16,6.03,6.07,27548064.0
2025-03-07,6.23,6.34,6.13,6.15,39643912.0
2025-03-10,6.33,6.41,6.21,6.22,37683140.0
2025-03-11,6.4,6.41,6.3,6.33,32366920.0
2025-03-12,6.36,6.44,6.32,6.4,22899270.0
2025-03-13,6.92,6.99,6.37,6.38,134781872.0
2025-03-14,6.96,7.12,6.87,6.89,70030512.0
2025-03-17,6.78,6.99,6.77,6.95,56037212.0
2025-03-18,6.69,6.81,6.64,6.8,38964980.0
2025-03-19,6.69,6.76,6.58,6.66,32650280.0
2025-03-20,6.75,6.86,6.68,6.69,34791992.0
2025-03-21,6.73,6.82,6.69,6.71,26171928.0
2025-03-24,6.79,6.9,6.71,6.79,40351840.0
2025-03-25,6.93,6.94,6.74,6.84,48203884.0
2025-03-26,6.9,7.0,6.86,6.93,41473552.0
2025-03-27,6.72,6.92,6.71,6.89,30488000.0
2025-03-28,6.63,6.74,6.56,6.73,27465644.0
2025-03-31,6.63,6.71,6.58,6.59,24410444.0
2025-04-01,6.75,6.78,6.63,6.63,24326280.0
2025-04-02,6.71,6.77,6.68,6.71,16863100.0
2025-04-03,6.65,6.68,6.59,6.65,20631644.0
2025-04-07,6.09,6.37,5.97,6.37,45751640.0
2025-04-08,6.32,6.36,6.08,6.09,37536300.0
2025-04-09,6.32,6.34,6.08,6.34,35349640.0
2025-04-10,6.44,6.52,6.33,6.38,29949200.0
2025-04-11,6.43,6.47,6.35,6.39,18373072.0
2025-04-14,6.61,6.62,6.43,6.43,28582600.0
2025-04-15,6.72,6.73,6.51,6.57,24440400.0
2025-04-16,6.76,6.78,6.66,6.69,21053740.0
2025-04-17,6.72,6.77,6.7,6.74,13601201.0
2025-04-18,6.81,6.85,6.69,6.7,20319700.0
2025-04-21,6.86,6.89,6.78,6.82,22947912.0
2025-04-22,6.94,7.06,6.85,6.86,39121720.0
2025-04-23,6.92,6.99,6.88,6.97,20155500.0
2025-04-24,6.84,6.98,6.8,6.91,27441000.0
2025-04-25,6.75,6.83,6.72,6.8,17928900.0
2025-04-28,6.59,6.67,6.42,6.65,32526260.0
2025-04-29,6.5,6.59,6.47,6.54,18041240.0
2025-04-30,6.48,6.55,6.43,6.49,16288497.0
2025-05-06,6.54,6.56,6.46,6.51,21296200.0
2025-05-07,6.54,6.6,6.5,6.58,18186748.0
2025-05-08,6.51,6.54,6.49,6.52,14820400.0
2025-05-09,6.49,6.54,6.48,6.51,15917806.0
2025-05-12,6.49,6.53,6.45,6.51,20163006.0
2025-05-13,6.58,6.62,6.49,6.52,25902612.0
2025-05-14,6.62,6.62,6.51,6.58,19005412.0
2025-05-15,6.6,6.73,6.59,6.6,23673468.0
2025-05-16,6.52,6.63,6.52,6.6,13823700.0
2025-05-19,6.51,6.56,6.49,6.5,11652505.0
2025-05-20,6.5,6.53,6.48,6.52,11054219.0
2025-05-21,6.72,6.74,6.51,6.52,38985748.0
2025-05-22,6.64,6.74,6.64,6.7,14508574.0
2025-05-23,6.56,6.72,6.55,6.63,18521300.0
2025-05-26,6.53,6.57,6.49,6.54,13044700.0
2025-05-27,6.47,6.54,6.42,6.52,14212986.0
2025-05-28,6.5,6.52,6.44,6.47,9442560.0
2025-05-29,6.54,6.57,6.49,6.51,10930877.0
2025-05-30,6.49,6.52,6.47,6.52,12907920.0
2025-06-03,6.47,6.5,6.42,6.48,15466903.0
2025-06-04,6.54,6.55,6.48,6.48,12186006.0
2025-06-05,6.47,6.57,6.46,6.51,12804320.0
2025-06-06,6.51,6.59,6.49,6.49,15485807.0
2025-06-09,6.51,6.53,6.44,6.49,14537312.0
2025-06-10,6.45,6.54,6.42,6.51,18716408.0
2025-06-11,6.46,6.5,6.43,6.45,14928703.0
2025-06-12,6.4,6.47,6.39,6.46,16315600.0
2025-06-13,6.47,6.51,6.4,6.41,28216636.0
2025-06-16,6.45,6.54,6.44,6.46,18248052.0
2025-06-17,6.39,6.47,6.34,6.46,26393720.0
2025-06-18,6.36,6.41,6.35,6.4,11706727.0
2025-06-19,6.21,6.36,6.19,6.36,25040876.0
2025-06-20,6.22,6.27,6.19,6.22,13884700.0
2025-06-23,6.26,6.27,6.16,6.23,16637322.0
2025-06-24,6.23,6.25,6.14,6.23,18680156.0
2025-06-25,6.25,6.26,6.18,6.24,20209540.0
2025-06-26,6.28,6.31,6.24,6.26,17802300.0
2025-06-27,6.28,6.37,6.27,6.29,19707574.0
2025-06-30,6.25,6.32,6.21,6.31,20792028.0
2025-07-01,6.24,6.25,6.2,6.24,16309380.0
2025-07-02,6.32,6.32,6.21,6.23,26988050.0
2025-07-03,6.31,6.38,6.27,6.33,20895120.0
2025-07-04,6.33,6.36,6.28,6.32,31790662.0
2025-07-07,6.33,6.39,6.28,6.36,27735600.0
2025-07-08,6.43,6.48,6.34,6.34,42995076.0
2025-07-09,6.39,6.45,6.36,6.45,34680880.0
2025-07-10,6.47,6.49,6.38,6.39,46115048.0
2025-07-11,6.44,6.49,6.42,6.49,54018500.0
2025-07-14,6.46,6.5,6.42,6.44,50760032.0
2025-07-15,6.32,6.46,6.3,6.46,49991448.0
2025-07-16,6.27,6.33,6.25,6.32,29876888.0
2025-07-17,6.29,6.3,6.26,6.28,22315404.0
2025-07-18,6.32,6.34,6.3,6.31,31480718.0
2025-07-21,6.44,6.46,6.33,6.34,70920256.0
2025-07-22,6.78,6.78,6.35,6.45,159020336.0
2025-07-23,6.67,6.92,6.66,6.86,111428664.0
2025-07-24,6.73,6.73,6.58,6.64,65042148.0
2025-07-25,6.68,6.82,6.66,6.73,60612600.0
2025-07-28,6.51,6.6,6.47,6.59,54878760.0
2025-07-29,6.49,6.5,6.43,6.49,37004048.0
2025-07-30,6.47,6.56,6.45,6.51,43510560.0
2025-07-31,6.24,6.46,6.24,6.45,67518320.0
2025-08-01,6.24,6.28,6.22,6.24,36374932.0
2025-08-04,6.26,6.26,6.18,6.21,39502416.0
2025-08-05,6.34,6.35,6.25,6.26,34972304.0
2025-08-06,6.42,6.52,6.33,6.34,63006172.0
2025-08-07,6.4,6.47,6.33,6.42,31673424.0
2025-08-08,6.38,6.42,6.35,6.39,31102480.0
2025-08-11,6.38,6.41,6.33,6.38,33559876.0
2025-08-12,6.44,6.45,6.38,6.4,42831344.0
2025-08-13,6.37,6.44,6.35,6.44,43962372.0
2025-08-14,6.31,6.38,6.3,6.37,37213104.0
2025-08-15,6.35,6.36,6.3,6.31,31183436.0
2025-08-18,6.35,6.4,6.33,6.37,33379156.0
2025-08-19,6.32,6.36,6.31,6.35,32928452.0
2025-08-20,6.36,6.36,6.29,6.31,29700880.0
2025-08-21,6.38,6.41,6.33,6.35,41807652.0
2025-08-22,6.39,6.4,6.32,6.4,39733680.0
2025-08-25,6.5,6.5,6.42,6.42,57284136.0
2025-08-26,6.46,6.53,6.46,6.51,36382272.0
2025-08-27,6.34,6.47,6.34,6.46,45246088.0
2025-08-28,6.34,6.36,6.27,6.34,38716952.0
2025-08-29,6.33,6.39,6.31,6.33,25763628.0
2025-09-01,6.32,6.36,6.29,6.32,27259486.0
2025-09-02,6.34,6.39,6.29,6.33,35703432.0
2025-09-03,6.24,6.36,6.24,6.33,30003880.0
2025-09-04,6.22,6.25,6.18,6.24,37366124.0
2025-09-05,6.24,6.24,6.18,6.23,32551786.0
2025-09-08,6.29,6.3,6.21,6.22,31555028.0
2025-09-09,6.23,6.29,6.2,6.28,26609766.0
2025-09-10,6.2,6.24,6.19,6.24,22024770.0
2025-09-11,6.24,6.24,6.17,6.2,22970666.0
2025-09-12,6.25,6.29,6.2,6.22,28586892.0
2025-09-15,6.27,6.28,6.21,6.24,33518698.0
2025-09-16,6.27,6.35,6.26,6.3,48338344.0
2025-09-17,6.39,6.44,6.23,6.25,71992592.0
2025-09-18,6.25,6.43,6.22,6.38,57056248.0
2025-09-19,6.38,6.38,6.24,6.25,48431344.0
2025-09-22,6.35,6.43,6.32,6.38,33568900.0
2025-09-23,6.4,6.41,6.3,6.35,56073856.0
2025-09-24,6.37,6.4,6.3,6.36,42828288.0
2025-09-25,6.32,6.36,6.29,6.36,34667080.0
2025-09-26,6.28,6.35,6.28,6.31,24824600.0
2025-09-29,6.19,6.26,6.14,6.26,48326328.0
2025-09-30,6.18,6.2,6.15,6.18,26578694.0
2025-10-09,6.34,6.35,6.17,6.17,58868088.0
2025-10-10,6.46,6.49,6.28,6.34,72597736.0
2025-10-13,6.46,6.46,6.28,6.35,64520080.0
2025-10-14,6.61,6.65,6.43,6.45,119152216.0
2025-10-15,6.64,6.66,6.57,6.59,58236712.0
2025-10-16,6.79,6.82,6.62,6.65,94328616.0
2025-10-17,6.73,6.91,6.72,6.78,73645416.0
2025-10-20,6.93,6.94,6.74,6.83,97704128.0
2025-10-21,7.1,7.13,6.78,6.93,121985576.0
2025-10-22,6.98,7.19,6.97,7.05,53319104.0
2025-10-23,7.13,7.16,7.0,7.0,72112616.0
2025-10-24,7.05,7.19,7.03,7.06,63179924.0
2025-10-27,7.28,7.37,6.93,7.12,100252568.0
2025-10-28,7.18,7.33,7.14,7.26,55491248.0
2025-10-29,7.38,7.45,7.09,7.15,63606068.0
