,Close,High,Low,Open,Volume
2025-01-02,20.85,21.62,20.63,21.13,12212586.0
2025-01-03,20.39,21.16,20.25,21.0,12083759.0
2025-01-06,20.06,20.63,19.91,20.39,8860460.0
2025-01-07,20.18,20.28,19.89,19.93,7337084.0
2025-01-08,20.19,20.28,19.44,20.11,11333766.0
2025-01-09,20.73,20.83,19.94,20.0,10513489.0
2025-01-10,20.52,21.02,20.45,20.81,9247700.0
2025-01-13,20.41,20.91,20.3,20.52,8614871.0
2025-01-14,20.86,21.11,20.25,20.53,8231400.0
2025-01-15,20.36,20.89,20.22,20.89,10917983.0
2025-01-16,20.21,20.72,20.13,20.39,7901851.0
2025-01-17,21.18,21.52,20.06,20.19,18211692.0
2025-01-20,20.8,21.41,20.69,21.22,11212450.0
2025-01-21,20.88,21.01,20.48,20.98,7442196.0
2025-01-22,20.99,21.15,20.76,20.86,7749025.0
2025-01-23,20.84,21.38,20.83,21.23,6833407.0
2025-01-24,20.17,20.99,20.09,20.84,19540854.0
2025-01-27,20.25,20.69,20.18,20.19,10424244.0
2025-02-05,19.91,20.4,19.79,20.3,9121611.0
2025-02-06,20.26,20.41,19.85,19.93,9165051.0
2025-02-07,20.33,20.55,20.11,20.26,11934960.0
2025-02-10,20.35,20.44,20.2,20.37,9443000.0
2025-02-11,19.86,20.46,19.8,20.35,12099602.0
2025-02-12,19.94,19.94,19.61,19.79,11592325.0
2025-02-13,19.99,20.15,19.85,19.95,10369636.0
2025-02-14,19.85,20.05,19.73,19.88,10383902.0
2025-02-17,19.71,20.03,19.63,19.88,11267141.0
2025-02-18,19.13,19.71,19.05,19.69,15403902.0
2025-02-19,19.32,19.36,19.12,19.16,8210270.0
2025-02-20,19.37,19.54,19.24,19.33,7747660.0
2025-02-21,19.3,19.59,19.17,19.41,10479510.0
2025-02-24,19.31,19.45,19.2,19.23,10938021.0
2025-02-25,19.16,19.39,19.01,19.23,12535516.0
2025-02-26,19.31,19.31,19.05,19.17,10027312.0
2025-02-27,19.61,19.76,19.27,19.32,17519284.0
2025-02-28,19.3,19.86,19.27,19.48,12756370.0
2025-03-03,19.41,19.66,19.25,19.25,9567807.0
2025-03-04,19.41,19.49,19.23,19.41,6411311.0
2025-03-05,19.33,19.43,19.21,19.38,6118575.0
2025-03-06,19.59,19.68,19.28,19.43,12140574.0
2025-03-07,19.79,19.98,19.34,19.44,12608502.0
2025-03-10,19.83,19.85,19.48,19.69,8718648.0
2025-03-11,20.42,20.49,19.58,19.6,15338874.0
2025-03-12,20.18,20.53,20.17,20.43,9560079.0
2025-03-13,20.18,20.38,19.98,20.13,7757083.0
2025-03-14,20.93,21.03,20.28,20.33,18907668.0
2025-03-17,20.94,21.39,20.92,21.22,12919300.0
2025-03-18,20.95,21.18,20.83,21.13,9128431.0
2025-03-19,20.82,21.1,20.73,20.88,7459153.0
2025-03-20,20.45,20.92,20.44,20.84,8222885.0
2025-03-21,20.24,20.56,20.18,20.44,6994354.0
2025-03-24,20.01,20.43,19.78,20.11,10219275.0
2025-03-25,20.27,20.28,19.72,19.99,7496310.0
2025-03-26,20.14,20.29,20.09,20.22,6041000.0
2025-03-27,20.15,20.28,19.88,20.1,6353778.0
2025-03-28,19.83,20.24,19.8,20.22,7479732.0
2025-03-31,19.75,19.93,19.61,19.8,6072912.0
2025-04-01,20.07,20.13,19.69,19.75,7222091.0
2025-04-02,19.94,20.16,19.84,19.97,5329659.0
2025-04-03,20.09,20.2,19.71,19.73,6606381.0
2025-04-07,17.99,19.31,17.99,18.63,18915084.0
2025-04-08,19.02,19.02,18.2,18.23,15944918.0
2025-04-09,20.34,20.65,18.69,19.0,25708812.0
2025-04-10,20.53,20.68,19.95,20.46,16661017.0
2025-04-11,20.53,20.89,20.13,20.51,15492000.0
2025-04-14,20.48,20.66,20.29,20.54,13176927.0
2025-04-15,20.48,20.67,20.24,20.47,8800890.0
2025-04-16,20.55,20.58,20.18,20.41,10108008.0
2025-04-17,20.89,21.05,20.32,20.37,15134600.0
2025-04-18,20.45,20.92,20.41,20.79,8104368.0
2025-04-21,20.52,20.56,20.33,20.41,7050000.0
2025-04-22,20.36,20.5,20.31,20.39,5791942.0
2025-04-23,20.29,20.46,20.19,20.43,7623364.0
2025-04-24,20.06,20.4,19.93,20.34,8005048.0
2025-04-25,19.65,20.15,19.62,20.09,11303554.0
2025-04-28,19.17,19.63,19.15,19.62,7900501.0
2025-04-29,18.9,19.3,18.9,19.24,10401026.0
2025-04-30,18.42,18.62,18.13,18.18,17442314.0
2025-05-06,18.39,18.57,18.21,18.49,15804383.0
2025-05-07,18.62,18.93,18.41,18.55,12571790.0
2025-05-08,18.59,18.7,18.45,18.62,8618208.0
2025-05-09,18.33,18.59,18.28,18.53,9963300.0
2025-05-12,18.47,18.51,18.29,18.46,8176535.0
2025-05-13,18.61,18.68,18.44,18.6,10554686.0
2025-05-14,18.68,18.78,18.34,18.6,13494491.0
2025-05-15,18.56,18.77,18.53,18.68,10966918.0
2025-05-16,18.49,18.56,18.42,18.56,6578150.0
2025-05-19,18.59,18.62,18.39,18.39,6017450.0
2025-05-20,18.78,18.92,18.5,18.59,12004124.0
2025-05-21,18.7,18.86,18.61,18.79,6866506.0
2025-05-22,18.44,18.73,18.44,18.65,6684400.0
2025-05-23,18.28,18.55,18.27,18.46,7972970.0
2025-05-26,18.03,18.18,17.88,18.15,13385228.0
2025-05-27,18.01,18.13,17.96,18.02,6931847.0
2025-05-28,18.21,18.26,17.98,18.0,7633016.0
2025-05-29,18.13,18.21,18.03,18.17,9071667.0
2025-05-30,17.8,18.16,17.79,18.11,11084362.0
2025-06-03,17.92,17.96,17.68,17.74,5902961.0
2025-06-04,18.21,18.28,17.91,17.96,8933237.0
2025-06-05,17.84,18.25,17.8,18.16,13187000.0
2025-06-06,17.78,17.95,17.77,17.9,7511377.0
2025-06-09,17.88,17.9,17.75,17.84,7871614.0
